,Group,Week Starting,Rank,Total Interactions,Headline,Published,Website
0,Content,2021-01-25,1,137053,Twitter Axes Group for Hate Speech About HHS Official's Biological Sex,2021-01-31,breitbart.com
1,Content,2021-01-25,2,81872,"Rep. Marjorie Taylor Greene’s endorsement of conspiracy theories, violence sparks calls for her resignation — again",2021-01-27,washingtonpost.com
2,Content,2021-01-25,3,50593,Marjorie Taylor Greene penned conspiracy theory that a laser beam from space started deadly 2018 California wildfire,2021-01-28,mediamatters.org
3,Content,2021-01-25,4,44418,Marjorie Taylor Greene removes social media posts amid scrutiny of past controversial comments,2021-01-28,cnn.com
4,Content,2021-01-25,5,41101,'Crazy and evil': Bill Gates surprised by pandemic conspiracies,2021-01-27,reuters.com
5,Content,2021-01-25,6,39536,"Checked by reality, some QAnon supporters seek a way out",2021-01-28,apnews.com
6,Content,2021-01-25,7,39440,Twitter bans MyPillow CEO,2021-01-26,politico.com
7,Content,2021-01-25,8,29927,Marjorie Taylor Greene mocked over Jewish space lasers conspiracy,2021-01-29,newsweek.com
8,Content,2021-01-25,9,23134,‘Even Discord Has Gone Corpo’: Elon Musk Rips Discord Banning ‘WallStreetBets’,2021-01-28,dailywire.com
9,Content,2021-01-25,10,21081,Video emerges of Trumper Rep. Marjorie Taylor Green calling for Pelosi's execution,2021-01-26,occupydemocrats.com
100,Taxation,2021-01-25,1,88073,"Sanders on Billionaire Investor's Tax Fears Amid GameStop Saga: ""Cry Me a River""",2021-01-29,truthout.org
101,Taxation,2021-01-25,2,85554,"Bill Gates warns the ""next pandemic"" is coming after Covid-19 - and how to stop it | MSNBC",2021-01-29,msnbc.com
102,Taxation,2021-01-25,3,8588,'Cry Me a River': Sanders Hits Back as Billionaire Investor Whines About Potential Tax Hikes Amid GameStop Fiasco,2021-01-29,commondreams.org
103,Taxation,2021-01-25,4,7652,Global Tax On Tech Giants Now ‘Highly Likely’ As EU And US Eye Summer Agreement,2021-01-31,unilad.co.uk
104,Taxation,2021-01-25,5,6639,PROBLEM SOLVED! Warren Says Americans Who ‘Make it Big’ Can Afford to ‘Pay It Forward!’,2021-01-29,hannity.com
105,Taxation,2021-01-25,6,4546,"Washington state lawmakers target Bill Gates, Jeff Bezos, and other billionaires with wealth tax",2021-01-28,geekwire.com
106,Taxation,2021-01-25,7,4099,"Kevin O'Leary thinks AOC's ""Tax the Rich"" shirts prove there's a capitalist in every socialist",2021-01-29,newsweek.com
107,Taxation,2021-01-25,8,3897,Bernie Sanders Hits Back At Billionaire Investor Complaining About ‘Bullsh*t’ Tax Hikes,2021-01-29,unilad.co.uk
108,Taxation,2021-01-25,9,3144,Elizabeth Warren says the stock market has become a 'playground for the billionaires.' She's calling for a wealth tax to fix it.,2021-01-29,businessinsider.com
109,Taxation,2021-01-25,10,2099,Billionaire hedge funder says paying his 'fair share' of tax is a 'bullsh*t attack on the rich',2021-01-29,thelondoneconomic.com
200,Privacy,2021-01-25,1,64490,Mark Zuckerberg says Apple is becoming Facebook's biggest competitor. He also accused Apple of misleading users on privacy and abusing its dominance.,2021-01-28,businessinsider.com
201,Privacy,2021-01-25,2,29370,Think you have nothing to hide? Why you should care about data privacy anyway.,2021-01-28,vox.com
202,Privacy,2021-01-25,3,10855,Zuckerberg says WhatsApp is under threat... from Apple iMessage,2021-01-28,indiatoday.in
203,Privacy,2021-01-25,4,7039,Mark Zuckerberg says Apple is now one of Facebook's biggest competitors,2021-01-27,cnbc.com
204,Privacy,2021-01-25,5,6268,ADL Chief Wants Twitter to Ban Iran's Ayatollah Khamenei,2021-01-26,newsmax.com
205,Privacy,2021-01-25,6,5993,Facebook is preparing an antitrust lawsuit against Apple,2021-01-28,xda-developers.com
206,Privacy,2021-01-25,7,5989,Facebook preparing to take Apple to court over iOS 14 privacy features | AppleInsider,2021-01-28,appleinsider.com
