Date,Topic,rank
2020-09-07T00:00:00Z,Competition,3
2020-09-14T00:00:00Z,Competition,3
2020-09-21T00:00:00Z,Competition,3
2020-09-28T00:00:00Z,Competition,3
2020-10-05T00:00:00Z,Competition,2
2020-10-12T00:00:00Z,Competition,2
2020-10-19T00:00:00Z,Competition,1
2020-10-26T00:00:00Z,Competition,2
2020-11-02T00:00:00Z,Competition,3
2020-11-09T00:00:00Z,Competition,2
2020-11-16T00:00:00Z,Competition,3
2020-11-23T00:00:00Z,Competition,3
2020-11-30T00:00:00Z,Competition,3
2020-12-07T00:00:00Z,Competition,3
2020-12-14T00:00:00Z,Competition,3
2020-12-21T00:00:00Z,Competition,3
2020-12-28T00:00:00Z,Competition,3
2021-01-04T00:00:00Z,Competition,3
2021-01-11T00:00:00Z,Competition,3
2021-01-18T00:00:00Z,Competition,2
2021-01-25T00:00:00Z,Competition,3
2020-09-07T00:00:00Z,Politics,1
2020-09-14T00:00:00Z,Politics,1
2020-09-21T00:00:00Z,Politics,1
2020-09-28T00:00:00Z,Politics,1
2020-10-05T00:00:00Z,Politics,1
2020-10-12T00:00:00Z,Politics,1
2020-10-19T00:00:00Z,Politics,2
2020-10-26T00:00:00Z,Politics,1
2020-11-02T00:00:00Z,Politics,1
2020-11-09T00:00:00Z,Politics,1
2020-11-16T00:00:00Z,Politics,1
2020-11-23T00:00:00Z,Politics,1
2020-11-30T00:00:00Z,Politics,1
2020-12-07T00:00:00Z,Politics,2
2020-12-14T00:00:00Z,Politics,2
2020-12-21T00:00:00Z,Politics,2
2020-12-28T00:00:00Z,Politics,2
2021-01-04T00:00:00Z,Politics,1
2021-01-11T00:00:00Z,Politics,2
2021-01-18T00:00:00Z,Politics,1
2021-01-25T00:00:00Z,Politics,1
2020-09-07T00:00:00Z,Censorship,9
2020-09-14T00:00:00Z,Censorship,8
2020-09-21T00:00:00Z,Censorship,7
2020-09-28T00:00:00Z,Censorship,6
2020-10-05T00:00:00Z,Censorship,7
2020-10-12T00:00:00Z,Censorship,5
2020-10-19T00:00:00Z,Censorship,6
2020-10-26T00:00:00Z,Censorship,5
2020-11-02T00:00:00Z,Censorship,6
2020-11-09T00:00:00Z,Censorship,5
2020-11-16T00:00:00Z,Censorship,6
2020-11-23T00:00:00Z,Censorship,7
2020-11-30T00:00:00Z,Censorship,6
2020-12-07T00:00:00Z,Censorship,6
2020-12-14T00:00:00Z,Censorship,7
2020-12-21T00:00:00Z,Censorship,7
2020-12-28T00:00:00Z,Censorship,5
2021-01-04T00:00:00Z,Censorship,5
2021-01-11T00:00:00Z,Censorship,5
2021-01-18T00:00:00Z,Censorship,5
2021-01-25T00:00:00Z,Censorship,7
2020-09-07T00:00:00Z,Access,6
2020-09-14T00:00:00Z,Access,7
2020-09-21T00:00:00Z,Access,8
2020-09-28T00:00:00Z,Access,7
2020-10-05T00:00:00Z,Access,8
2020-10-12T00:00:00Z,Access,10
2020-10-19T00:00:00Z,Access,9
2020-10-26T00:00:00Z,Access,8
2020-11-02T00:00:00Z,Access,8
2020-11-09T00:00:00Z,Access,8
2020-11-16T00:00:00Z,Access,9
2020-11-23T00:00:00Z,Access,9
2020-11-30T00:00:00Z,Access,7
2020-12-07T00:00:00Z,Access,8
2020-12-14T00:00:00Z,Access,8
2020-12-21T00:00:00Z,Access,10
2020-12-28T00:00:00Z,Access,10
2021-01-04T00:00:00Z,Access,9
2021-01-11T00:00:00Z,Access,9
2021-01-18T00:00:00Z,Access,8
2021-01-25T00:00:00Z,Access,9
2020-09-07T00:00:00Z,Privacy,2
2020-09-14T00:00:00Z,Privacy,2
2020-09-21T00:00:00Z,Privacy,2
2020-09-28T00:00:00Z,Privacy,2
2020-10-05T00:00:00Z,Privacy,4
2020-10-12T00:00:00Z,Privacy,4
2020-10-19T00:00:00Z,Privacy,3
2020-10-26T00:00:00Z,Privacy,4
2020-11-02T00:00:00Z,Privacy,2
2020-11-09T00:00:00Z,Privacy,3
2020-11-16T00:00:00Z,Privacy,2
2020-11-23T00:00:00Z,Privacy,2
2020-11-30T00:00:00Z,Privacy,2
2020-12-07T00:00:00Z,Privacy,1
2020-12-14T00:00:00Z,Privacy,1
2020-12-21T00:00:00Z,Privacy,1
2020-12-28T00:00:00Z,Privacy,1
2021-01-04T00:00:00Z,Privacy,2
2021-01-11T00:00:00Z,Privacy,1
2021-01-18T00:00:00Z,Privacy,3
2021-01-25T00:00:00Z,Privacy,2
2020-09-07T00:00:00Z,Behaviour,4
2020-09-14T00:00:00Z,Behaviour,5
2020-09-21T00:00:00Z,Behaviour,5
2020-09-28T00:00:00Z,Behaviour,5
2020-10-05T00:00:00Z,Behaviour,5
2020-10-12T00:00:00Z,Behaviour,7
2020-10-19T00:00:00Z,Behaviour,5
2020-10-26T00:00:00Z,Behaviour,6
2020-11-02T00:00:00Z,Behaviour,5
2020-11-09T00:00:00Z,Behaviour,6
2020-11-16T00:00:00Z,Behaviour,5
2020-11-23T00:00:00Z,Behaviour,8
2020-11-30T00:00:00Z,Behaviour,5
2020-12-07T00:00:00Z,Behaviour,5
2020-12-14T00:00:00Z,Behaviour,6
2020-12-21T00:00:00Z,Behaviour,6
2020-12-28T00:00:00Z,Behaviour,6
